transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
motion_blur_level 4,91.37,93.13,86.15,0.757516,86.36,93.23,85.29,0.525553,86.27,93.87,85.71,0.388428,99.82,99.91,98.51,0.509195,97.5,99.01,96.97,0.471177,78.7,81.0,74.42,0.451178,68.5,70.17,68.49,0.773804,90.27,91.91,83.33,0.56604,78.33,82.24,75.32,0.556656,56.33,55.27,66.67,0.563454,95.99,96.64,92.31,0.738052,99.82,99.91,98.51,0.454591,85.77,88.02,84.31,0.56297
zoom_blur_level 1,86.23,89.02,78.79,0.622174,65.0,72.1,83.12,0.609723,89.2,96.0,90.32,0.48622,96.78,98.62,94.12,0.55419,94.13,97.58,92.06,0.425538,71.99,75.94,71.26,0.386414,67.13,61.42,75.0,0.60389,87.24,88.77,80.56,0.554867,58.31,60.71,67.37,0.494918,68.5,71.57,71.79,0.581221,66.02,72.41,66.67,0.704777,98.86,99.47,95.65,0.471286,79.12,81.97,80.56,0.541268
zoom_blur_level 2,83.56,87.38,79.37,0.583405,57.73,65.47,80.52,0.594981,86.36,94.56,85.71,0.444041,95.45,98.13,93.55,0.627598,93.75,97.48,91.8,0.431181,71.9,76.0,74.19,0.400584,66.39,62.76,71.79,0.604342,86.04,87.61,78.79,0.553546,51.42,55.7,68.04,0.472968,69.51,70.94,71.79,0.563915,63.09,71.63,66.67,0.670241,99.05,99.56,96.97,0.454907,77.02,80.6,79.93,0.533476
zoom_blur_level 3,84.02,86.43,76.71,0.574239,68.79,77.5,81.48,0.58756,84.85,93.63,84.85,0.467606,93.37,97.28,92.06,0.596015,93.18,97.06,90.14,0.376469,77.59,80.79,75.0,0.396156,66.85,61.56,73.81,0.592663,77.87,78.25,73.97,0.571603,43.71,48.93,68.04,0.487442,60.61,61.08,71.26,0.576659,42.52,46.26,66.67,0.582469,99.05,99.58,96.97,0.424592,74.37,77.36,79.25,0.519456
zoom_blur_level 4,82.83,84.91,76.71,0.519365,68.33,76.46,81.48,0.563762,82.2,92.72,83.08,0.459469,92.8,97.03,90.91,0.544561,90.91,96.51,92.06,0.408186,76.31,79.16,73.53,0.40009,68.78,65.41,73.81,0.601547,76.49,76.85,76.71,0.558672,40.31,44.61,67.35,0.46137,62.26,62.51,70.59,0.562251,46.74,47.82,66.67,0.565482,99.05,99.55,97.06,0.372015,73.92,76.96,79.16,0.501398
brightness_level 1,85.96,88.65,80.81,0.734942,91.2,95.61,87.64,0.603047,93.36,96.87,92.31,0.495329,96.32,98.46,93.88,0.553876,98.16,99.23,96.97,0.430467,85.92,86.52,81.82,0.545023,77.8,79.74,73.21,0.740153,80.6,81.92,76.27,0.671482,82.76,82.33,79.25,0.695526,67.02,73.52,66.67,0.647594,96.55,96.67,92.16,0.784189,99.28,99.69,98.99,0.711055,87.91,89.93,85.0,0.63439
brightness_level 2,83.36,86.21,79.59,0.683948,88.27,94.23,86.36,0.609094,88.72,94.7,87.85,0.473624,93.44,97.27,91.84,0.535933,98.0,99.14,96.97,0.442404,82.24,82.98,78.26,0.550327,76.2,77.02,72.9,0.701691,75.72,76.24,74.63,0.642604,83.0,83.04,79.65,0.696505,66.39,73.81,66.23,0.550797,96.47,96.88,94.85,0.806935,98.96,99.54,97.03,0.608896,85.9,88.42,83.85,0.608563
brightness_level 3,79.04,82.75,75.51,0.625954,88.2,93.89,84.11,0.542313,87.12,93.74,87.62,0.488403,90.96,96.39,91.49,0.583238,97.6,99.02,96.97,0.443583,78.72,80.93,75.0,0.52173,68.32,69.9,71.94,0.585621,74.24,73.8,73.21,0.662336,79.52,79.37,76.92,0.697905,64.16,72.76,66.23,0.55453,96.2,96.37,94.0,0.787062,97.76,99.01,95.83,0.590853,83.49,86.49,82.4,0.590294
brightness_level 4,76.44,81.17,74.29,0.597341,84.53,92.22,84.31,0.551332,85.44,92.92,85.96,0.459466,89.36,95.36,87.13,0.57821,98.32,99.3,97.96,0.451755,79.16,81.1,76.27,0.498698,67.08,67.77,70.09,0.638383,81.6,77.22,78.99,0.654549,75.92,75.27,74.38,0.68841,60.63,71.34,66.23,0.548033,95.49,96.51,93.88,0.789973,93.2,96.47,92.16,0.538332,82.26,85.55,81.8,0.582873
contrast_level 1,94.8,95.82,88.17,0.605917,98.53,99.22,95.92,0.490533,89.2,94.97,89.52,0.343961,98.0,99.12,96.0,0.515366,92.72,96.64,89.72,0.364474,87.24,89.66,79.55,0.472085,68.4,67.58,70.37,0.721338,85.16,84.91,81.08,0.629042,80.6,80.96,77.31,0.641783,72.16,75.09,70.68,0.595555,94.0,93.97,88.0,0.772973,99.52,99.79,98.99,0.4959,88.36,89.81,85.44,0.554077
contrast_level 2,92.36,93.66,85.44,0.535359,97.6,98.79,95.92,0.48205,85.84,93.52,86.79,0.309961,96.16,98.51,94.95,0.497617,94.32,97.24,91.09,0.369992,87.08,89.28,80.85,0.438409,64.32,64.0,68.85,0.672996,85.72,85.65,78.43,0.620486,76.64,77.84,76.27,0.627694,67.84,70.37,71.3,0.597468,95.32,95.24,89.8,0.759959,99.6,99.82,98.99,0.427745,86.9,88.66,84.89,0.528311
contrast_level 3,87.08,89.47,78.26,0.483729,94.8,97.32,91.3,0.474138,83.84,92.87,84.31,0.270391,96.96,98.66,93.75,0.468645,95.2,97.66,93.07,0.355512,85.36,87.43,77.17,0.332068,58.92,57.93,67.67,0.627369,86.2,86.8,80.0,0.560728,75.08,76.07,74.42,0.587851,71.52,72.83,71.64,0.561533,95.72,95.05,90.91,0.736746,99.6,99.81,98.0,0.351461,85.86,87.66,83.37,0.484181
contrast_level 4,81.48,85.32,77.06,0.352427,87.2,92.61,84.11,0.418764,81.6,92.14,83.87,0.235154,94.08,97.27,90.74,0.31998,98.32,99.2,94.95,0.261452,73.12,73.75,75.21,0.287026,53.04,58.88,67.11,0.437853,83.76,82.66,80.0,0.473696,77.24,79.38,74.58,0.500924,73.8,77.29,71.11,0.460609,96.64,96.31,91.59,0.638406,99.04,99.53,97.03,0.195168,83.28,86.2,82.28,0.381788
