transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
impulse_noise_level 2,93.38,55.58,36.21,0.305397,94.61,87.12,30.16,0.481314,94.84,66.21,52.51,0.248694,98.12,59.73,60.64,0.611618,95.48,81.21,42.33,0.16618,98.86,69.15,22.56,0.4595,98.71,88.39,15.4,0.761701,90.84,58.8,20.72,0.326706,95.62,86.08,35.19,0.65771,89.34,74.96,21.94,0.641538,95.1,88.82,38.63,0.583071,96.73,74.33,30.63,0.500996,95.14,74.2,33.91,0.478702
impulse_noise_level 3,91.65,53.6,31.29,0.300398,93.9,84.3,27.53,0.496225,95.38,61.26,58.41,0.25643,97.6,52.57,56.93,0.614111,95.55,74.53,40.27,0.14472,98.53,64.84,28.63,0.457691,98.21,85.6,11.2,0.749993,91.69,60.8,22.1,0.287826,95.16,84.0,36.09,0.642905,90.25,75.59,25.86,0.62864,94.86,88.1,35.43,0.581603,96.52,75.36,29.32,0.553369,94.94,71.71,33.59,0.476159
impulse_noise_level 4,90.89,36.28,32.97,0.281955,93.0,80.29,15.67,0.628007,96.78,55.33,60.58,0.226508,96.75,38.76,54.32,0.435413,95.47,68.69,40.28,0.152017,97.35,66.27,18.51,0.495422,97.19,76.69,9.22,0.817355,92.84,55.08,16.62,0.29962,94.55,80.98,32.01,0.590762,90.59,74.3,28.37,0.674988,93.26,86.0,40.32,0.595942,97.5,71.53,44.2,0.473749,94.68,65.85,32.76,0.472645
defocus_blur_level 1,98.97,86.32,50.63,0.644024,96.52,81.37,35.91,0.458772,97.66,73.47,50.07,0.271516,99.56,81.25,72.78,0.733593,95.52,79.98,40.6,0.183387,99.5,88.03,41.28,0.522507,98.66,87.02,16.88,0.693274,95.56,68.3,45.68,0.233337,94.25,75.47,36.11,0.572127,91.26,59.45,17.03,0.644705,95.13,75.84,38.77,0.43971,95.54,77.5,32.24,0.459122,96.51,77.83,39.83,0.488006
defocus_blur_level 2,98.84,85.47,51.79,0.653889,95.95,76.74,32.33,0.458248,97.4,69.09,47.49,0.252896,99.53,79.39,71.78,0.678992,95.35,79.93,40.62,0.177798,99.41,86.6,41.58,0.498823,98.27,85.27,14.2,0.65773,95.4,64.98,43.55,0.231359,94.03,71.48,36.0,0.524925,91.28,54.85,17.06,0.633406,94.51,71.63,37.31,0.427627,95.63,77.45,32.94,0.444636,96.3,75.24,38.89,0.470027
defocus_blur_level 3,98.38,82.5,51.42,0.624678,95.71,76.09,26.09,0.454876,96.46,66.64,38.28,0.268295,99.34,73.18,67.16,0.594427,95.06,80.11,38.75,0.168378,99.1,80.66,36.85,0.391921,97.15,81.1,11.79,0.722428,94.75,60.4,32.46,0.218822,94.08,73.14,35.94,0.439268,91.6,43.92,15.09,0.689418,93.7,68.09,36.75,0.502875,96.11,77.5,42.14,0.463622,95.95,71.94,36.06,0.461584
defocus_blur_level 4,97.36,77.22,51.44,0.615831,94.65,72.39,23.88,0.498978,95.5,69.04,27.33,0.29359,99.06,65.97,60.15,0.416544,95.47,76.09,42.27,0.159119,98.82,76.16,32.93,0.421587,96.56,79.36,8.2,0.706802,94.44,58.68,25.09,0.224914,94.4,72.25,32.22,0.378311,91.52,41.33,11.79,0.751935,93.03,65.08,37.48,0.447627,96.06,74.98,41.37,0.474884,95.57,69.05,32.85,0.449177
motion_blur_level 1,97.49,86.94,42.07,0.641014,95.99,82.92,41.62,0.422465,96.76,80.82,57.08,0.299864,99.4,89.38,78.2,0.814625,95.06,83.69,33.22,0.175337,99.06,93.6,34.55,0.451997,97.94,90.06,17.56,0.652461,95.07,83.45,35.59,0.334043,92.28,75.66,33.31,0.59931,88.63,73.92,27.46,0.664711,97.3,89.36,40.09,0.571784,98.9,85.92,31.12,0.590057,96.16,84.64,39.32,0.518139
motion_blur_level 2,97.3,86.23,39.19,0.638323,95.16,79.97,43.25,0.465835,96.75,78.08,53.65,0.241507,99.33,84.06,77.67,0.817507,95.22,80.67,34.96,0.171552,98.81,92.14,34.9,0.448108,97.73,88.12,20.48,0.719567,95.33,81.37,35.86,0.330271,91.45,75.42,30.04,0.567491,89.11,71.27,22.45,0.634203,96.98,87.02,42.61,0.610991,98.93,85.95,34.05,0.581699,96.01,82.52,39.09,0.518921
motion_blur_level 3,96.71,85.59,37.89,0.642486,93.05,75.0,35.52,0.479622,96.41,79.22,49.5,0.287548,99.29,81.16,76.26,0.772415,95.16,81.04,34.81,0.150415,99.09,92.8,34.8,0.469789,96.46,85.31,10.46,0.66924,95.4,81.45,37.95,0.292865,91.97,76.0,32.91,0.596182,90.21,72.86,25.23,0.665021,96.74,87.0,41.36,0.745397,98.84,78.06,38.94,0.598244,95.78,81.29,37.97,0.530769
motion_blur_level 4,96.36,84.34,35.42,0.691944,91.67,63.04,31.21,0.523768,96.08,80.13,49.9,0.300318,99.2,75.16,76.64,0.763795,94.33,79.84,33.95,0.151618,98.93,91.78,34.73,0.483101,96.49,81.25,10.14,0.721821,96.67,85.47,36.72,0.294806,91.27,71.62,28.12,0.650385,89.91,71.58,20.41,0.79102,96.1,85.64,35.31,0.743852,98.49,81.33,32.29,0.614081,95.46,79.26,35.4,0.560876
