transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
motion_blur_level 4,92.85,88.03,28.06,0.551832,90.36,47.3,35.43,0.644031,93.8,78.55,34.68,0.485169,99.16,72.18,70.25,0.567502,94.43,85.86,35.05,0.529029,96.78,85.32,9.84,0.892547,94.27,79.6,3.56,0.889663,89.46,88.19,7.4,0.735317,86.5,66.75,6.04,0.753287,89.0,70.7,14.54,0.852409,93.23,74.61,18.12,0.817107,99.53,95.55,55.58,0.609122,93.28,77.72,26.55,0.693918
zoom_blur_level 1,85.52,87.0,17.36,0.562001,85.84,60.64,10.64,0.617486,91.39,81.51,18.34,0.576366,99.14,74.53,72.05,0.629211,93.32,74.4,30.79,0.594158,94.42,73.7,16.22,0.912118,94.23,71.64,1.27,0.718478,89.79,73.29,6.33,0.667515,84.5,56.65,4.21,0.828574,88.66,72.72,11.39,0.84634,91.57,81.84,20.05,0.822007,96.82,93.79,42.75,0.583984,91.27,75.14,20.95,0.69652
zoom_blur_level 2,81.26,84.66,14.76,0.566496,81.19,56.13,6.14,0.682133,90.14,82.58,15.07,0.581456,99.02,71.63,69.23,0.648754,93.25,74.35,29.57,0.59866,93.68,71.41,11.69,0.892311,93.67,71.17,1.18,0.71504,89.25,70.87,5.74,0.6712,84.09,55.11,2.52,0.80248,88.72,71.82,11.44,0.85528,90.25,77.23,14.92,0.821966,96.56,93.21,40.39,0.557784,90.09,73.35,18.55,0.699463
zoom_blur_level 3,80.91,78.19,12.01,0.580072,82.31,54.63,6.46,0.631326,88.84,80.38,12.64,0.629774,99.0,74.23,67.93,0.651054,93.01,74.3,28.81,0.600048,92.96,70.22,14.69,0.91105,91.31,63.22,0.81,0.651432,88.62,67.44,5.39,0.763379,83.82,53.71,2.14,0.783959,88.34,71.09,9.58,0.861863,88.18,62.4,7.43,0.741658,96.17,92.61,37.56,0.556148,89.46,70.2,17.12,0.696814
zoom_blur_level 4,78.2,73.41,10.09,0.607908,79.7,52.3,6.43,0.663745,89.35,80.17,13.41,0.599259,98.9,72.93,65.82,0.670218,93.09,74.51,29.45,0.603054,91.33,67.61,14.01,0.881347,90.85,60.11,0.78,0.652744,89.22,66.27,5.67,0.691775,83.67,52.83,1.89,0.72404,87.99,68.25,6.89,0.846449,87.64,59.23,6.44,0.698552,95.99,92.26,37.48,0.559317,88.83,68.32,16.53,0.683201
brightness_level 1,91.79,87.41,33.26,0.59728,98.2,70.58,51.41,0.642259,95.01,78.02,35.16,0.504462,98.42,77.15,72.8,0.591077,94.3,83.19,37.26,0.511302,96.21,77.85,12.07,0.817056,95.27,79.26,3.73,0.915636,88.69,79.36,5.92,0.583911,90.03,75.02,14.27,0.839897,88.93,79.24,22.8,0.778815,94.7,82.97,29.37,0.694414,96.45,96.0,37.01,0.547668,94.0,80.5,29.59,0.668648
brightness_level 2,91.41,85.97,26.94,0.625269,97.88,69.13,48.35,0.655052,95.15,75.37,34.39,0.532051,97.12,74.92,63.81,0.551519,94.36,82.89,37.59,0.522747,96.31,78.65,13.43,0.835608,94.34,75.75,3.77,0.915573,89.83,79.79,5.74,0.589131,89.56,73.74,12.61,0.850569,88.85,78.61,20.41,0.794751,94.78,83.5,29.64,0.716921,96.42,95.74,37.01,0.549507,93.83,79.51,27.81,0.678225
brightness_level 3,90.54,85.28,25.6,0.645012,97.16,66.08,43.71,0.660552,95.09,72.54,34.28,0.516659,97.18,76.39,64.14,0.540349,94.35,83.21,37.5,0.548509,96.04,79.73,14.78,0.836879,93.44,74.55,4.16,0.928354,90.0,79.93,6.08,0.801837,88.96,72.22,11.4,0.84341,88.55,77.21,17.04,0.794113,94.85,83.84,31.38,0.729496,96.11,95.22,37.87,0.556688,93.52,78.85,27.33,0.700155
brightness_level 4,90.18,85.15,25.26,0.647741,95.99,59.51,33.35,0.684349,94.76,70.59,33.97,0.516667,96.71,75.25,63.79,0.527458,94.32,83.36,37.04,0.565236,95.77,80.05,16.69,0.849698,93.21,74.41,4.45,0.921729,89.37,79.51,8.46,0.807607,87.84,69.58,10.66,0.826741,88.25,75.53,13.34,0.817032,94.65,83.8,31.42,0.738852,95.65,93.42,43.08,0.599292,93.06,77.51,26.79,0.708534
contrast_level 1,96.82,90.79,33.65,0.572829,95.13,69.26,48.88,0.627952,92.18,79.41,28.24,0.539144,95.64,48.65,65.05,0.538784,94.63,83.15,35.19,0.49011,96.34,80.21,21.56,0.844258,96.65,85.27,3.67,0.736573,90.41,86.8,8.85,0.630844,91.55,77.82,14.59,0.803992,93.56,76.96,23.27,0.767391,93.09,82.4,24.92,0.700108,98.65,95.81,54.29,0.540176,94.55,79.71,30.18,0.649347
